start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarDistal,VolarDistal,TI_Map_6
RadialProximal,RadialProximal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialDistal,RadialDistal,TI_Music_3
VolarProximal,VolarIntermediate,Spotify_4
VolarProximal,VolarDistal,Instagram_4
VolarProximal,RadialProximal,Whatsapp_4
VolarProximal,RadialIntermediate,Radio_4
VolarProximal,RadialDistal,Podcast_4
VolarIntermediate,VolarProximal,Air_2
VolarIntermediate,VolarDistal,AC_2
VolarIntermediate,RadialProximal,Heater_2
VolarIntermediate,RadialIntermediate,CarSeatHeater_2
VolarIntermediate,RadialDistal,SteeringHeater_2
VolarDistal,VolarProximal,Home_6
VolarDistal,VolarIntermediate,Work_6
VolarDistal,RadialProximal,Search_6
VolarDistal,RadialIntermediate,Destination_6
VolarDistal,RadialDistal,Recenter_6
RadialProximal,VolarProximal,ContactList_5
RadialProximal,VolarIntermediate,SpeechToText_5
RadialProximal,VolarDistal,Send_5
RadialProximal,RadialIntermediate,Keyboard_5
RadialProximal,RadialDistal,Reply_5
RadialIntermediate,VolarProximal,CallReply_1
RadialIntermediate,VolarIntermediate,MuteMic_1
RadialIntermediate,VolarDistal,CallAccept_1
RadialIntermediate,RadialProximal,CallReject_1
RadialIntermediate,RadialDistal,CallingPerson_1
RadialDistal,VolarProximal,Play_3
RadialDistal,VolarIntermediate,VolumeMinus_3
RadialDistal,VolarDistal,NextSong_3
RadialDistal,RadialProximal,Pause_3
RadialDistal,RadialIntermediate,VolumePlus_3
