start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Call_1
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarDistal,VolarDistal,TI_Chats_5
RadialProximal,RadialProximal,TI_Climate_2
RadialIntermediate,RadialIntermediate,TI_Apps_4
RadialDistal,RadialDistal,TI_Map_6
VolarProximal,VolarIntermediate,CallReply_1
VolarProximal,VolarDistal,CallReject_1
VolarProximal,RadialProximal,CallingPerson_1
VolarProximal,RadialIntermediate,MuteMic_1
VolarProximal,RadialDistal,CallAccept_1
VolarIntermediate,VolarProximal,VolumePlus_3
VolarIntermediate,VolarDistal,Pause_3
VolarIntermediate,RadialProximal,VolumeMinus_3
VolarIntermediate,RadialIntermediate,Play_3
VolarIntermediate,RadialDistal,NextSong_3
VolarDistal,VolarProximal,Send_5
VolarDistal,VolarIntermediate,SpeechToText_5
VolarDistal,RadialProximal,Keyboard_5
VolarDistal,RadialIntermediate,Reply_5
VolarDistal,RadialDistal,ContactList_5
RadialProximal,VolarProximal,Heater_2
RadialProximal,VolarIntermediate,Air_2
RadialProximal,VolarDistal,SteeringHeater_2
RadialProximal,RadialIntermediate,CarSeatHeater_2
RadialProximal,RadialDistal,AC_2
RadialIntermediate,VolarProximal,Spotify_4
RadialIntermediate,VolarIntermediate,Radio_4
RadialIntermediate,VolarDistal,Podcast_4
RadialIntermediate,RadialProximal,Instagram_4
RadialIntermediate,RadialDistal,Whatsapp_4
RadialDistal,VolarProximal,Destination_6
RadialDistal,VolarIntermediate,Home_6
RadialDistal,VolarDistal,Search_6
RadialDistal,RadialProximal,Work_6
RadialDistal,RadialIntermediate,Recenter_6
