start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Climate_2
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarDistal,VolarDistal,TI_Chats_5
RadialProximal,RadialProximal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialDistal,RadialDistal,TI_Apps_4
VolarProximal,VolarIntermediate,AC_2
VolarProximal,VolarDistal,Air_2
VolarProximal,RadialProximal,SteeringHeater_2
VolarProximal,RadialIntermediate,CarSeatHeater_2
VolarProximal,RadialDistal,Heater_2
VolarIntermediate,VolarProximal,NextSong_3
VolarIntermediate,VolarDistal,VolumePlus_3
VolarIntermediate,RadialProximal,Play_3
VolarIntermediate,RadialIntermediate,Pause_3
VolarIntermediate,RadialDistal,VolumeMinus_3
VolarDistal,VolarProximal,Keyboard_5
VolarDistal,VolarIntermediate,Send_5
VolarDistal,RadialProximal,ContactList_5
VolarDistal,RadialIntermediate,SpeechToText_5
VolarDistal,RadialDistal,Reply_5
RadialProximal,VolarProximal,Destination_6
RadialProximal,VolarIntermediate,Home_6
RadialProximal,VolarDistal,Recenter_6
RadialProximal,RadialIntermediate,Search_6
RadialProximal,RadialDistal,Work_6
RadialIntermediate,VolarProximal,CallingPerson_1
RadialIntermediate,VolarIntermediate,CallReject_1
RadialIntermediate,VolarDistal,CallAccept_1
RadialIntermediate,RadialProximal,CallReply_1
RadialIntermediate,RadialDistal,MuteMic_1
RadialDistal,VolarProximal,Radio_4
RadialDistal,VolarIntermediate,Instagram_4
RadialDistal,VolarDistal,Spotify_4
RadialDistal,RadialProximal,Whatsapp_4
RadialDistal,RadialIntermediate,Podcast_4
