start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Call_1
VolarDistal,VolarDistal,TI_Climate_2
RadialProximal,RadialProximal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Chats_5
RadialDistal,RadialDistal,TI_Music_3
VolarProximal,VolarIntermediate,Instagram_4
VolarProximal,VolarDistal,Spotify_4
VolarProximal,RadialProximal,Radio_4
VolarProximal,RadialIntermediate,Whatsapp_4
VolarProximal,RadialDistal,Podcast_4
VolarIntermediate,VolarProximal,MuteMic_1
VolarIntermediate,VolarDistal,CallAccept_1
VolarIntermediate,RadialProximal,CallingPerson_1
VolarIntermediate,RadialIntermediate,CallReply_1
VolarIntermediate,RadialDistal,CallReject_1
VolarDistal,VolarProximal,Heater_2
VolarDistal,VolarIntermediate,AC_2
VolarDistal,RadialProximal,CarSeatHeater_2
VolarDistal,RadialIntermediate,SteeringHeater_2
VolarDistal,RadialDistal,Air_2
RadialProximal,VolarProximal,Home_6
RadialProximal,VolarIntermediate,Work_6
RadialProximal,VolarDistal,Destination_6
RadialProximal,RadialIntermediate,Recenter_6
RadialProximal,RadialDistal,Search_6
RadialIntermediate,VolarProximal,Keyboard_5
RadialIntermediate,VolarIntermediate,SpeechToText_5
RadialIntermediate,VolarDistal,ContactList_5
RadialIntermediate,RadialProximal,Reply_5
RadialIntermediate,RadialDistal,Send_5
RadialDistal,VolarProximal,VolumeMinus_3
RadialDistal,VolarIntermediate,Play_3
RadialDistal,VolarDistal,VolumePlus_3
RadialDistal,RadialProximal,NextSong_3
RadialDistal,RadialIntermediate,Pause_3
