start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Climate_2
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialProximal,RadialProximal,TI_Chats_5
VolarDistal,VolarDistal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Apps_4
VolarProximal,VolarProximal,TI_Music_3
RadialDistal,RadialIntermediate,Air_2
RadialDistal,RadialIntermediate,SteeringHeater_2
RadialDistal,RadialIntermediate,Heater_2
RadialDistal,RadialIntermediate,CarSeatHeater_2
RadialDistal,RadialIntermediate,AC_2
RadialIntermediate,RadialDistal,CallAccept_1
RadialIntermediate,RadialDistal,MuteMic_1
RadialIntermediate,RadialDistal,CallReject_1
RadialIntermediate,RadialDistal,CallReply_1
RadialIntermediate,RadialDistal,CallingPerson_1
RadialProximal,RadialDistal,Reply_5
RadialProximal,RadialDistal,SpeechToText_5
RadialProximal,RadialDistal,Send_5
RadialProximal,RadialDistal,Keyboard_5
RadialProximal,RadialDistal,ContactList_5
VolarDistal,RadialDistal,Search_6
VolarDistal,RadialDistal,Destination_6
VolarDistal,RadialDistal,Home_6
VolarDistal,RadialDistal,Recenter_6
VolarDistal,RadialDistal,Work_6
VolarIntermediate,RadialDistal,Spotify_4
VolarIntermediate,RadialDistal,Instagram_4
VolarIntermediate,RadialDistal,Whatsapp_4
VolarIntermediate,RadialDistal,Radio_4
VolarIntermediate,RadialDistal,Podcast_4
VolarProximal,RadialDistal,Pause_3
VolarProximal,RadialDistal,NextSong_3
VolarProximal,RadialDistal,Play_3
VolarProximal,RadialDistal,VolumeMinus_3
VolarProximal,RadialDistal,VolumePlus_3
