start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Chats_5
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarDistal,VolarDistal,TI_Map_6
RadialProximal,RadialProximal,TI_Call_1
RadialIntermediate,RadialIntermediate,TI_Apps_4
RadialDistal,RadialDistal,TI_Music_3
VolarProximal,VolarIntermediate,Send_5
VolarProximal,VolarDistal,Keyboard_5
VolarProximal,RadialProximal,Reply_5
VolarProximal,RadialIntermediate,ContactList_5
VolarProximal,RadialDistal,SpeechToText_5
VolarIntermediate,VolarProximal,AC_2
VolarIntermediate,VolarDistal,CarSeatHeater_2
VolarIntermediate,RadialProximal,Heater_2
VolarIntermediate,RadialIntermediate,SteeringHeater_2
VolarIntermediate,RadialDistal,Air_2
VolarDistal,VolarProximal,Recenter_6
VolarDistal,VolarIntermediate,Destination_6
VolarDistal,RadialProximal,Home_6
VolarDistal,RadialIntermediate,Search_6
VolarDistal,RadialDistal,Work_6
RadialProximal,VolarProximal,CallingPerson_1
RadialProximal,VolarIntermediate,CallAccept_1
RadialProximal,VolarDistal,CallReject_1
RadialProximal,RadialIntermediate,CallReply_1
RadialProximal,RadialDistal,MuteMic_1
RadialIntermediate,VolarProximal,Instagram_4
RadialIntermediate,VolarIntermediate,Spotify_4
RadialIntermediate,VolarDistal,Whatsapp_4
RadialIntermediate,RadialProximal,Podcast_4
RadialIntermediate,RadialDistal,Radio_4
RadialDistal,VolarProximal,VolumeMinus_3
RadialDistal,VolarIntermediate,Play_3
RadialDistal,VolarDistal,Pause_3
RadialDistal,RadialProximal,VolumePlus_3
RadialDistal,RadialIntermediate,NextSong_3
