start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Call_1
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarDistal,VolarDistal,TI_Apps_4
RadialProximal,RadialProximal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Map_6
RadialDistal,RadialDistal,TI_Climate_2
VolarProximal,VolarIntermediate,CallAccept_1
VolarProximal,VolarDistal,CallReply_1
VolarProximal,RadialProximal,CallingPerson_1
VolarProximal,RadialIntermediate,MuteMic_1
VolarProximal,RadialDistal,CallReject_1
VolarIntermediate,VolarProximal,NextSong_3
VolarIntermediate,VolarDistal,VolumeMinus_3
VolarIntermediate,RadialProximal,VolumePlus_3
VolarIntermediate,RadialIntermediate,Play_3
VolarIntermediate,RadialDistal,Pause_3
VolarDistal,VolarProximal,Whatsapp_4
VolarDistal,VolarIntermediate,Instagram_4
VolarDistal,RadialProximal,Podcast_4
VolarDistal,RadialIntermediate,Radio_4
VolarDistal,RadialDistal,Spotify_4
RadialProximal,VolarProximal,Keyboard_5
RadialProximal,VolarIntermediate,ContactList_5
RadialProximal,VolarDistal,SpeechToText_5
RadialProximal,RadialIntermediate,Send_5
RadialProximal,RadialDistal,Reply_5
RadialIntermediate,VolarProximal,Recenter_6
RadialIntermediate,VolarIntermediate,Work_6
RadialIntermediate,VolarDistal,Destination_6
RadialIntermediate,RadialProximal,Search_6
RadialIntermediate,RadialDistal,Home_6
RadialDistal,VolarProximal,AC_2
RadialDistal,VolarIntermediate,Heater_2
RadialDistal,VolarDistal,Air_2
RadialDistal,RadialProximal,SteeringHeater_2
RadialDistal,RadialIntermediate,CarSeatHeater_2
