start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Call_1
VolarDistal,VolarDistal,TI_Chats_5
RadialProximal,RadialProximal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Climate_2
RadialDistal,RadialDistal,TI_Music_3
VolarProximal,VolarIntermediate,Radio_4
VolarProximal,VolarDistal,Instagram_4
VolarProximal,RadialProximal,Spotify_4
VolarProximal,RadialIntermediate,Podcast_4
VolarProximal,RadialDistal,Whatsapp_4
VolarIntermediate,VolarProximal,MuteMic_1
VolarIntermediate,VolarDistal,CallAccept_1
VolarIntermediate,RadialProximal,CallReject_1
VolarIntermediate,RadialIntermediate,CallingPerson_1
VolarIntermediate,RadialDistal,CallReply_1
VolarDistal,VolarProximal,ContactList_5
VolarDistal,VolarIntermediate,Reply_5
VolarDistal,RadialProximal,SpeechToText_5
VolarDistal,RadialIntermediate,Keyboard_5
VolarDistal,RadialDistal,Send_5
RadialProximal,VolarProximal,Home_6
RadialProximal,VolarIntermediate,Destination_6
RadialProximal,VolarDistal,Recenter_6
RadialProximal,RadialIntermediate,Work_6
RadialProximal,RadialDistal,Search_6
RadialIntermediate,VolarProximal,Air_2
RadialIntermediate,VolarIntermediate,Heater_2
RadialIntermediate,VolarDistal,AC_2
RadialIntermediate,RadialProximal,CarSeatHeater_2
RadialIntermediate,RadialDistal,SteeringHeater_2
RadialDistal,VolarProximal,VolumePlus_3
RadialDistal,VolarIntermediate,Pause_3
RadialDistal,VolarDistal,Play_3
RadialDistal,RadialProximal,NextSong_3
RadialDistal,RadialIntermediate,VolumeMinus_3
