start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarDistal,VolarDistal,TI_Chats_5
RadialProximal,RadialProximal,TI_Call_1
RadialIntermediate,RadialIntermediate,TI_Climate_2
RadialDistal,RadialDistal,TI_Map_6
VolarProximal,VolarIntermediate,Whatsapp_4
VolarProximal,VolarDistal,Instagram_4
VolarProximal,RadialProximal,Spotify_4
VolarProximal,RadialIntermediate,Radio_4
VolarProximal,RadialDistal,Podcast_4
VolarIntermediate,VolarProximal,VolumeMinus_3
VolarIntermediate,VolarDistal,Pause_3
VolarIntermediate,RadialProximal,Play_3
VolarIntermediate,RadialIntermediate,NextSong_3
VolarIntermediate,RadialDistal,VolumePlus_3
VolarDistal,VolarProximal,SpeechToText_5
VolarDistal,VolarIntermediate,Send_5
VolarDistal,RadialProximal,ContactList_5
VolarDistal,RadialIntermediate,Reply_5
VolarDistal,RadialDistal,Keyboard_5
RadialProximal,VolarProximal,CallReply_1
RadialProximal,VolarIntermediate,CallReject_1
RadialProximal,VolarDistal,CallAccept_1
RadialProximal,RadialIntermediate,CallingPerson_1
RadialProximal,RadialDistal,MuteMic_1
RadialIntermediate,VolarProximal,AC_2
RadialIntermediate,VolarIntermediate,CarSeatHeater_2
RadialIntermediate,VolarDistal,SteeringHeater_2
RadialIntermediate,RadialProximal,Air_2
RadialIntermediate,RadialDistal,Heater_2
RadialDistal,VolarProximal,Home_6
RadialDistal,VolarIntermediate,Recenter_6
RadialDistal,VolarDistal,Destination_6
RadialDistal,RadialProximal,Work_6
RadialDistal,RadialIntermediate,Search_6
