start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Chats_5
VolarDistal,VolarDistal,TI_Climate_2
RadialProximal,RadialProximal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Music_3
RadialDistal,RadialDistal,TI_Call_1
VolarProximal,VolarIntermediate,Spotify_4
VolarProximal,VolarDistal,Whatsapp_4
VolarProximal,RadialProximal,Podcast_4
VolarProximal,RadialIntermediate,Instagram_4
VolarProximal,RadialDistal,Radio_4
VolarIntermediate,VolarProximal,Send_5
VolarIntermediate,VolarDistal,Reply_5
VolarIntermediate,RadialProximal,ContactList_5
VolarIntermediate,RadialIntermediate,SpeechToText_5
VolarIntermediate,RadialDistal,Keyboard_5
VolarDistal,VolarProximal,Heater_2
VolarDistal,VolarIntermediate,AC_2
VolarDistal,RadialProximal,SteeringHeater_2
VolarDistal,RadialIntermediate,Air_2
VolarDistal,RadialDistal,CarSeatHeater_2
RadialProximal,VolarProximal,Search_6
RadialProximal,VolarIntermediate,Work_6
RadialProximal,VolarDistal,Home_6
RadialProximal,RadialIntermediate,Recenter_6
RadialProximal,RadialDistal,Destination_6
RadialIntermediate,VolarProximal,VolumeMinus_3
RadialIntermediate,VolarIntermediate,Pause_3
RadialIntermediate,VolarDistal,NextSong_3
RadialIntermediate,RadialProximal,Play_3
RadialIntermediate,RadialDistal,VolumePlus_3
RadialDistal,VolarProximal,CallAccept_1
RadialDistal,VolarIntermediate,CallingPerson_1
RadialDistal,VolarDistal,CallReject_1
RadialDistal,RadialProximal,MuteMic_1
RadialDistal,RadialIntermediate,CallReply_1
