start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Chats_5
VolarIntermediate,VolarIntermediate,TI_Map_6
VolarDistal,VolarDistal,TI_Climate_2
RadialProximal,RadialProximal,TI_Apps_4
RadialIntermediate,RadialIntermediate,TI_Music_3
RadialDistal,RadialDistal,TI_Call_1
VolarProximal,VolarIntermediate,Keyboard_5
VolarProximal,VolarDistal,Send_5
VolarProximal,RadialProximal,Reply_5
VolarProximal,RadialIntermediate,SpeechToText_5
VolarProximal,RadialDistal,ContactList_5
VolarIntermediate,VolarProximal,Work_6
VolarIntermediate,VolarDistal,Recenter_6
VolarIntermediate,RadialProximal,Search_6
VolarIntermediate,RadialIntermediate,Destination_6
VolarIntermediate,RadialDistal,Home_6
VolarDistal,VolarProximal,SteeringHeater_2
VolarDistal,VolarIntermediate,Air_2
VolarDistal,RadialProximal,CarSeatHeater_2
VolarDistal,RadialIntermediate,AC_2
VolarDistal,RadialDistal,Heater_2
RadialProximal,VolarProximal,Radio_4
RadialProximal,VolarIntermediate,Instagram_4
RadialProximal,VolarDistal,Whatsapp_4
RadialProximal,RadialIntermediate,Spotify_4
RadialProximal,RadialDistal,Podcast_4
RadialIntermediate,VolarProximal,Pause_3
RadialIntermediate,VolarIntermediate,Play_3
RadialIntermediate,VolarDistal,VolumeMinus_3
RadialIntermediate,RadialProximal,VolumePlus_3
RadialIntermediate,RadialDistal,NextSong_3
RadialDistal,VolarProximal,CallingPerson_1
RadialDistal,VolarIntermediate,CallReply_1
RadialDistal,VolarDistal,MuteMic_1
RadialDistal,RadialProximal,CallReject_1
RadialDistal,RadialIntermediate,CallAccept_1
