start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Call_1
RadialProximal,RadialProximal,TI_Apps_4
VolarDistal,VolarDistal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarProximal,VolarProximal,TI_Climate_2
RadialDistal,RadialIntermediate,ContactList_5
RadialDistal,RadialIntermediate,Keyboard_5
RadialDistal,RadialIntermediate,SpeechToText_5
RadialDistal,RadialIntermediate,Send_5
RadialDistal,RadialIntermediate,Reply_5
RadialIntermediate,RadialDistal,CallAccept_1
RadialIntermediate,RadialDistal,CallReply_1
RadialIntermediate,RadialDistal,CallingPerson_1
RadialIntermediate,RadialDistal,CallReject_1
RadialIntermediate,RadialDistal,MuteMic_1
RadialProximal,RadialDistal,Radio_4
RadialProximal,RadialDistal,Podcast_4
RadialProximal,RadialDistal,Whatsapp_4
RadialProximal,RadialDistal,Instagram_4
RadialProximal,RadialDistal,Spotify_4
VolarDistal,RadialDistal,Recenter_6
VolarDistal,RadialDistal,Destination_6
VolarDistal,RadialDistal,Search_6
VolarDistal,RadialDistal,Home_6
VolarDistal,RadialDistal,Work_6
VolarIntermediate,RadialDistal,Pause_3
VolarIntermediate,RadialDistal,NextSong_3
VolarIntermediate,RadialDistal,VolumeMinus_3
VolarIntermediate,RadialDistal,VolumePlus_3
VolarIntermediate,RadialDistal,Play_3
VolarProximal,RadialDistal,CarSeatHeater_2
VolarProximal,RadialDistal,Air_2
VolarProximal,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,AC_2
VolarProximal,RadialDistal,Heater_2
