start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarDistal,VolarDistal,TI_Chats_5
RadialProximal,RadialProximal,TI_Apps_4
RadialIntermediate,RadialIntermediate,TI_Music_3
RadialDistal,RadialDistal,TI_Call_1
VolarProximal,VolarIntermediate,Home_6
VolarProximal,VolarDistal,Destination_6
VolarProximal,RadialProximal,Search_6
VolarProximal,RadialIntermediate,Work_6
VolarProximal,RadialDistal,Recenter_6
VolarIntermediate,VolarProximal,Air_2
VolarIntermediate,VolarDistal,SteeringHeater_2
VolarIntermediate,RadialProximal,CarSeatHeater_2
VolarIntermediate,RadialIntermediate,AC_2
VolarIntermediate,RadialDistal,Heater_2
VolarDistal,VolarProximal,Keyboard_5
VolarDistal,VolarIntermediate,Send_5
VolarDistal,RadialProximal,Reply_5
VolarDistal,RadialIntermediate,ContactList_5
VolarDistal,RadialDistal,SpeechToText_5
RadialProximal,VolarProximal,Whatsapp_4
RadialProximal,VolarIntermediate,Radio_4
RadialProximal,VolarDistal,Spotify_4
RadialProximal,RadialIntermediate,Podcast_4
RadialProximal,RadialDistal,Instagram_4
RadialIntermediate,VolarProximal,Pause_3
RadialIntermediate,VolarIntermediate,VolumePlus_3
RadialIntermediate,VolarDistal,NextSong_3
RadialIntermediate,RadialProximal,Play_3
RadialIntermediate,RadialDistal,VolumeMinus_3
RadialDistal,VolarProximal,MuteMic_1
RadialDistal,VolarIntermediate,CallAccept_1
RadialDistal,VolarDistal,CallReply_1
RadialDistal,RadialProximal,CallReject_1
RadialDistal,RadialIntermediate,CallingPerson_1
